No.,Tanggal Iklan,URL,Harga,Kota,LT (m²),LB (m²),KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
74,7 Desember 2020,https://www.rumah123.com/properti/lombok-tengah/hos7645254/,Rp. 3.900.000.000,"Pujut, Lombok Tengah",1011,220,2,2,0,0,1,0,5500,SHM,villa kuta - LOMBOK,"Villa berlokasi di kuta lombok, dengan luas bangunan 220m2 dan luas tanah 1011m2.
berada di lokasi yang sangat strategis di atas bukit dengan view menghadap sirkuit dan view pantai tanjung ann.
deekat dengan semua fasilitas yang ada.
sangat cocok untuk investasi jangka panjang anda.
fasilitas lengkap seperti kolam renang,parkir kitchen set dan lain lain."
75,25 November 2020,https://www.rumah123.com/properti/lombok-utara/hos7599561/,Rp. 3.547.000.000,"Gili Trawangan, Lombok Utara",400,250,5,4,0,0,0,0,2200,SHM,VILLA GILI TRAWANGAN BISA BARTER TANAH BEDUGUL,"Villa Dijual Lombok Utara gili trawangan

tanah 4 are

5 bedroom

pool 12 x 3

genzet 22 kva mitsubishi

harga usd 250.000"
76,10 Juni 2020,https://www.rumah123.com/properti/lombok-tengah/hos6677704/,Rp. 3.494.000.000,"Pujut, Lombok Tengah",700,600,3,4,0,0,1,0,0,HGB,Villa in central Kuta Lombok,"Completed in 2019, 3-bedroom villa on 600 sqm (with additional 700 sqm of common areas, security and parking). Bali quality finish, large lap pool, marble kitchen island, open living area, available freehold or HGB."
77,21 April 2020,https://www.rumah123.com/properti/lombok-barat/hos6461523/,Rp. 4.000.000.000,"Senggigi, Lombok Barat",2400,400,3,3,0,0,0,0,3500,SHM,Villa 4 kamar senggigi lombok (Sgt),"Di jual vila 4 kamar senggigi lombok barat
furnished"
78,22 Februari 2021,https://www.rumah123.com/properti/lombok-tengah/hos7950254/,Rp. 4.500.000.000,"Pujut, Lombok Tengah",323,240,6,6,0,0,0,0,0,SHM,Villa di Selong belanak Lombok tengah V031,"Dijual Villa di Selong belanak Lombok tengah

Lokasi : Selong belanak Lombok tengah

Luas : 240/323 M2

Harga : Rp 4,500,000,000/global

Keterangan : Terdiri dari 6 kamar tidur dengan kamar mandi dalam. Dijual full furnished dengan standar Villa. Juga terdapat kolam renang.

Lokasi strategis, terletak dipinggir jalan, dan merupakan salah satu kawasan pariwisata di Lombok tengah. Legalitas sudah SHM."
79,21 Februari 2021,https://www.rumah123.com/properti/lombok-barat/hos7945509/,Rp. 2.300.000.000,"Lingsar, Lombok Barat",400,350,7,3,0,0,0,0,0,SHM,Rumah di Lombok barat 2 lantai type 350/400 M2 di Lingsar R201,"Dijual Rumah di Lombok barat 2 lantai type 350/400 M2 di Lingsar R201

Free AC Water Heater

Lokasi : Jl. Baru mekar Peteluan indah Lingsar

Luas : 350/400 M2

Harga : Rp. 2,300,000,000/global

Keterangan : Rumah 2 lantai type 350/400 M2 di Lingsar Lombok barat. Terdiri dari 7 kamar tidur, 3 kamar mandi, ruang makan, ruang tamu, dapur, mushola.

Lokasi nyaman dan asri, terdapat beberapa tanaman pohon seperti pohon mangga, manggis, kelengkeng dll. Dekat ke Rumah Sakit Harapan Keluarga. SHM."
80,28 Januari 2021,https://www.rumah123.com/properti/lombok-barat/hos7842192/,Rp. 4.500.000.000,"Senggigi, Lombok Barat",585,500,3,3,0,0,0,0,11000,HGB,MILIKI VILLA DI TAMAN ALAS KERANDANGAN SENGIGI MATARAM,"Villa Dijual Lombok Barat DIJUAL VILLA MODERN VIEW PEGUNUNGAN :



FASILITAS



2 BR 180 x 200

1 BR 160 x 100

All room types with air con, hot shower, TV

2 bathroom with bath tub &

hair dryer

1 bathroom no bath tub

Private swimming pool

Private Gym

Kitchen all furnished

(oven, microwave, mineral water, etc)"
81,21 November 2020,https://www.rumah123.com/properti/lombok-barat/hos7585833/,Rp. 4.600.000.000,"Senggigi, Lombok Barat",500,40,6,6,0,0,0,0,2200,SHM,Bungalow Freehold Senggigi Lombok Barat,"Luas tanah 500m Luas bangunan bungalow 40m Luas bangunan Receptionis 84m SHM : Prika Agus Fandri IMB 2016 Surat Oprasional : iya Surat Ijin Usaha : iya Tahun bangunan : 2016 Kamar tidur 6 Kamar mandi 6 Listrik pls 2200 (untuk 2 kamar) Air Sumur Bungalow hadap Barat Reception/Loby/Bar hadap selatan dan utara Fasilitas tambahan * Bangunan resepsion 6x7, bangunan 3 lantai (lantai 2, 1 kamar staf, 1 musholla, 1 kamar standar untuk disewakan) Kamar standar ukuran 4x5 * Rooftop di lantai 3 bangunan resepsionis, hill view dan sea view * Mini Bar * Kolam renang 4x7 kedalaman 1.5m * Rooftop hill view dan sea view * Parkir motor * Harga jual 4.600.000.000 * Fully Furnished Jl. Dusun Mangsit"
82,7 Maret 2020,https://www.rumah123.com/properti/lombok-barat/hos6256923/,Rp. 4.500.000.000,"Senggigi, Lombok Barat",600,232,3,3,0,0,0,0,5500,SHM,Villa View Gunung Agung dan Laut Siap Penghasil Dollar,Villa Dijual Lombok Barat DIJUAL VILLA MENAWAN LOKASI WISATA SENGGIGI TERKENAL DI NTB VIEW LAUT DAN GUNUNG AGUNG PULAU BALI DAN POSISI VILLA DI DATARAN TINGGI LUAS MATA MEMANDANG AKSES JALAN MASUK ASPAL DAN NYAMAN SIAP DIPASARKAN KRN OWNER MAU PULANG KAMPUNG KE AMERIKA...INFO LENGKAP HARTONO BAMS
83,6 Maret 2020,https://www.rumah123.com/properti/mataram/hos6252520/,Rp. 4.500.000.000,"Mataram Kota, Mataram",650,500,12,12,0,0,0,0,0,SHM,City Hotel Mataram - Lombok - NTB,"City hotel Mataram - Lombok – NTB code : 266 Luas tanah 650 m2 Terdiri dari 12 kamar tidur Lokasi dekat dari jalan Pejanggik Harga Rp 4,5 Milyar"
